                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.5831,                 1.1589,                  1.359,                0.65301,                0.72506,                0.75114,                0.28953,                 1.7766,                 1.2446,                  1.504,              0.0016386,              0.0016386,              0.0016386
                     76,                 1.5351,                 1.1139,                 1.3336,                 0.6743,                0.78583,                0.81181,                0.36227,                 1.8191,                 1.1123,                 1.5208,              0.0016337,              0.0016337,              0.0016337
                     77,                 1.5299,                 1.1049,                 1.3194,                0.47353,                0.82941,                0.61266,                0.23124,                 1.9123,                  1.311,                 1.6036,              0.0016287,              0.0016287,              0.0016287
                     78,                 1.5473,                 1.1439,                 1.3567,                0.48065,                0.77616,                0.63483,                0.25983,                 1.7477,                 1.3016,                 1.4889,              0.0016238,              0.0016238,              0.0016238
                     79,                 1.5364,                 1.1224,                 1.3453,                0.63434,                0.70065,                0.72576,                0.31904,                 1.8582,                 1.2083,                 1.5625,              0.0016189,              0.0016189,              0.0016189
                     80,                  1.575,                 1.1307,                 1.3695,                0.67341,                0.75182,                0.78765,                0.35025,                 1.7262,                 1.1351,                  1.473,              0.0016139,              0.0016139,              0.0016139
                     81,                 1.5317,                 1.1069,                 1.3463,                0.65084,                0.72263,                0.75946,                0.31674,                 1.8565,                 1.1266,                 1.5579,              0.0016089,              0.0016089,              0.0016089
                     82,                 1.5513,                 1.1193,                 1.3234,                 0.5464,                0.68613,                0.67265,                0.27683,                 1.8537,                 1.2784,                 1.5514,               0.001604,               0.001604,               0.001604
                     83,                 1.5404,                 1.0893,                 1.3444,                0.45157,                0.78132,                0.63807,                0.27425,                 1.8421,                 1.2854,                 1.5299,              0.0015991,              0.0015991,              0.0015991
                     84,                 1.5144,                 1.0999,                 1.3258,                0.58307,                0.68734,                0.69467,                0.28908,                  1.851,                 1.1892,                 1.5437,              0.0015941,              0.0015941,              0.0015941
                     85,                 1.5388,                 1.1111,                 1.3328,                0.61301,                0.70316,                 0.7048,                0.27853,                 1.7807,                 1.2545,                 1.5019,              0.0015892,              0.0015892,              0.0015892
                     86,                 1.5438,                 1.1252,                 1.3513,                0.77421,                0.75669,                0.82587,                0.38431,                 1.6583,                 1.1089,                 1.4424,              0.0015842,              0.0015842,              0.0015842
                     87,                 1.5114,                  1.083,                  1.318,                0.58447,                0.67883,                0.66959,                0.24422,                 1.9855,                 1.2986,                 1.6537,              0.0015793,              0.0015793,              0.0015793
                     88,                  1.542,                 1.0952,                 1.3299,                 0.6454,                0.69526,                0.75171,                0.34466,                 1.6828,                 1.1412,                 1.4463,              0.0015743,              0.0015743,              0.0015743
                     89,                 1.5141,                 1.0497,                 1.3168,                0.64506,                0.68127,                0.74378,                0.33889,                  1.816,                 1.1086,                 1.5241,              0.0015693,              0.0015693,              0.0015693
                     90,                 1.5221,                 1.0322,                 1.3305,                0.63312,                0.65937,                0.68924,                0.31667,                  1.763,                 1.1784,                 1.4952,              0.0015644,              0.0015644,              0.0015644
                     91,                  1.522,                 1.0151,                 1.3292,                0.75942,                0.81411,                 0.8241,                0.35245,                 1.8997,                 1.0414,                 1.5868,              0.0015594,              0.0015594,              0.0015594
                     92,                  1.513,                 1.0655,                 1.3256,                0.77621,                0.75182,                 0.8093,                 0.3783,                 1.7053,                 1.0772,                 1.4535,              0.0015545,              0.0015545,              0.0015545
                     93,                 1.4968,                 1.0461,                 1.3128,                0.60599,                 0.5688,                0.64677,                0.28241,                 1.7732,                 1.3087,                 1.5116,              0.0015496,              0.0015496,              0.0015496
                     94,                 1.5036,                 1.0024,                 1.3001,                0.74734,                0.76287,                0.78464,                0.36648,                 1.7655,                 1.0656,                 1.5187,              0.0015446,              0.0015446,              0.0015446
                     95,                 1.5329,                 1.0079,                 1.3313,                0.70538,                0.73966,                0.78113,                0.33138,                  1.798,                 1.1533,                 1.4998,              0.0015397,              0.0015397,              0.0015397
                     96,                 1.4973,                 0.9986,                 1.3119,                 0.8033,                0.72535,                0.83137,                0.41154,                 1.7424,                 0.9902,                   1.48,              0.0015347,              0.0015347,              0.0015347
                     97,                 1.5593,                 1.0078,                 1.3357,                0.78281,                0.78928,                0.84213,                0.41382,                 1.6971,                 1.0001,                  1.443,              0.0015298,              0.0015298,              0.0015298
                     98,                  1.476,                 1.0053,                 1.3173,                0.83129,                0.80326,                0.86359,                 0.4161,                 1.7532,                0.93704,                 1.4875,              0.0015248,              0.0015248,              0.0015248
                     99,                 1.4949,                 1.0024,                 1.3075,                0.80909,                0.82495,                 0.8196,                0.36868,                 1.8095,                0.99612,                 1.5196,              0.0015199,              0.0015199,              0.0015199
                    100,                 1.4889,                 1.0187,                 1.3033,                0.82727,                0.78832,                0.83691,                0.39339,                 1.7215,                 1.0252,                 1.4628,              0.0015149,              0.0015149,              0.0015149
                    101,                 1.5652,                 1.0192,                 1.3334,                0.80946,                0.83455,                0.86113,                0.42672,                 1.6825,                0.92588,                  1.459,              0.0015099,              0.0015099,              0.0015099
                    102,                 1.4889,                  1.002,                 1.3086,                  0.782,                0.81172,                0.84536,                0.40832,                 1.7526,                0.96966,                 1.4897,               0.001505,               0.001505,               0.001505
                    103,                 1.4928,                  0.941,                 1.3074,                0.78232,                0.75426,                0.79549,                0.37103,                 1.7464,                 1.0044,                 1.5044,              0.0015001,              0.0015001,              0.0015001
                    104,                 1.4831,                0.97872,                 1.3025,                0.72114,                0.74939,                0.78919,                0.38374,                 1.6851,                 1.0441,                  1.459,              0.0014951,              0.0014951,              0.0014951
                    105,                  1.485,                0.92134,                 1.3019,                0.73774,                0.74939,                0.73426,                0.29205,                 1.8831,                 1.1343,                 1.6231,              0.0014901,              0.0014901,              0.0014901
                    106,                 1.4696,                0.93033,                 1.3037,                0.71786,                0.72263,                0.72814,                0.31146,                 1.8598,                 1.1279,                 1.5802,              0.0014852,              0.0014852,              0.0014852
                    107,                 1.4773,                0.93331,                 1.3058,                0.73894,                0.76445,                0.79707,                0.34755,                 1.7739,                 1.0769,                  1.516,              0.0014803,              0.0014803,              0.0014803
                    108,                 1.4533,                0.91645,                 1.2857,                0.75978,                0.78589,                0.80087,                0.35948,                  1.768,                 1.0991,                 1.5013,              0.0014753,              0.0014753,              0.0014753
                    109,                 1.4453,                0.89771,                  1.281,                0.78879,                0.80292,                0.84487,                0.39998,                 1.7448,                0.96353,                 1.4947,              0.0014703,              0.0014703,              0.0014703
                    110,                 1.4634,                0.90287,                 1.2671,                0.81987,                0.83698,                0.84134,                0.40138,                 1.7528,                0.91963,                 1.4889,              0.0014654,              0.0014654,              0.0014654
                    111,                 1.4882,                0.93237,                 1.3235,                0.81308,                0.82555,                0.86943,                0.43018,                 1.7051,                0.96162,                 1.4661,              0.0014605,              0.0014605,              0.0014605
                    112,                 1.4856,                0.94237,                 1.3004,                0.79326,                0.75618,                0.81578,                0.38173,                 1.8056,                 0.9994,                 1.5277,              0.0014555,              0.0014555,              0.0014555
                    113,                 1.4637,                0.89051,                  1.294,                0.81741,                0.85645,                0.86018,                0.43115,                 1.6909,                0.89944,                  1.447,              0.0014505,              0.0014505,              0.0014505
                    114,                 1.4551,                0.88931,                 1.2937,                0.74818,                0.75669,                0.79046,                0.37929,                 1.7761,                 1.0131,                 1.5225,              0.0014456,              0.0014456,              0.0014456
